seed,parameter,truth,posterior_mean,posterior_median,q05,q95,error,abs_error,covered_by_q05_q95,divergences,n_surv_rows,n_surv_events,n_treated_rows
101,beta_td,-0.25,-0.21650853753089905,-0.21470099687576294,-0.30887964367866516,-0.12121026962995529,0.03349146246910095,0.03349146246910095,1,0,29257,3833,13057
101,beta_age_per10_centered,0.18,0.16774913668632507,0.1682380884885788,0.14074459671974182,0.19532835483551025,-0.01225086331367492,0.01225086331367492,1,0,29257,3833,13057
101,beta_cci,0.22,0.2230052649974823,0.22312521934509277,0.1993977576494217,0.2456984966993332,0.0030052649974822987,0.0030052649974822987,1,0,29257,3833,13057
101,beta_tumor_size_log,0.3,0.22504183650016785,0.2210949808359146,0.1552504450082779,0.30546584725379944,-0.07495816349983214,0.07495816349983214,1,0,29257,3833,13057
101,beta_stage_II,0.3,0.2917664051055908,0.2911224067211151,0.22641269862651825,0.3593604266643524,-0.008233594894409169,0.008233594894409169,1,0,29257,3833,13057
101,beta_stage_III,0.75,0.7687335014343262,0.7672973871231079,0.7005109190940857,0.8398011922836304,0.018733501434326172,0.018733501434326172,1,0,29257,3833,13057
101,delta_post[0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,29257,3833,13057
101,delta_post[1],0.12,-0.010011785663664341,-0.01351382490247488,-0.14524725079536438,0.12708161771297455,-0.13001178566366434,0.13001178566366434,1,0,29257,3833,13057
101,delta_post[2],0.2,0.15284942090511322,0.1523074209690094,0.03495141863822937,0.27150967717170715,-0.04715057909488679,0.04715057909488679,1,0,29257,3833,13057
101,delta_post[3],0.28,0.2480568289756775,0.24950848519802094,0.11537003517150879,0.3846691846847534,-0.031943171024322536,0.031943171024322536,1,0,29257,3833,13057
101,delta_post[4],0.35,0.2482539713382721,0.2487703561782837,0.0794418603181839,0.4188764989376068,-0.10174602866172788,0.10174602866172788,1,0,29257,3833,13057
202,beta_td,-0.25,-0.09246693551540375,-0.09400492161512375,-0.18126437067985535,7.47868834878318e-05,0.15753306448459625,0.15753306448459625,0,0,29636,3852,13557
202,beta_age_per10_centered,0.18,0.17607896029949188,0.1755935400724411,0.14947037398815155,0.20337873697280884,-0.003921039700508111,0.003921039700508111,1,0,29636,3852,13557
202,beta_cci,0.22,0.2050912231206894,0.2046966552734375,0.18294444680213928,0.22829057276248932,-0.014908776879310609,0.014908776879310609,1,0,29636,3852,13557
202,beta_tumor_size_log,0.3,0.1252238154411316,0.12581376731395721,0.05264211818575859,0.19438378512859344,-0.1747761845588684,0.1747761845588684,0,0,29636,3852,13557
202,beta_stage_II,0.3,0.29768264293670654,0.296597421169281,0.23731882870197296,0.35816818475723267,-0.002317357063293446,0.002317357063293446,1,0,29636,3852,13557
202,beta_stage_III,0.75,0.7029591798782349,0.7017051577568054,0.6397945284843445,0.7735139727592468,-0.04704082012176514,0.04704082012176514,1,0,29636,3852,13557
202,delta_post[0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,29636,3852,13557
202,delta_post[1],0.12,0.01422299537807703,0.013957332819700241,-0.11742495000362396,0.14042440056800842,-0.10577700462192297,0.10577700462192297,1,0,29636,3852,13557
202,delta_post[2],0.2,0.1360422521829605,0.13838523626327515,0.01245043333619833,0.2539985477924347,-0.0639577478170395,0.0639577478170395,1,0,29636,3852,13557
202,delta_post[3],0.28,0.07295713573694229,0.07280165702104568,-0.060011282563209534,0.20646831393241882,-0.20704286426305774,0.20704286426305774,0,0,29636,3852,13557
202,delta_post[4],0.35,0.08005893230438232,0.08131255209445953,-0.08768767863512039,0.2400190830230713,-0.26994106769561765,0.26994106769561765,0,0,29636,3852,13557
303,beta_td,-0.25,-0.1567317247390747,-0.15855500102043152,-0.2511647343635559,-0.06664910167455673,0.09326827526092529,0.09326827526092529,1,0,29934,3823,13960
303,beta_age_per10_centered,0.18,0.1960304081439972,0.19565188884735107,0.17093506455421448,0.2232675850391388,0.0160304081439972,0.0160304081439972,1,0,29934,3823,13960
303,beta_cci,0.22,0.24329839646816254,0.2431769073009491,0.21900244057178497,0.26748594641685486,0.023298396468162536,0.023298396468162536,1,0,29934,3823,13960
303,beta_tumor_size_log,0.3,0.2604575753211975,0.25903183221817017,0.18101699650287628,0.34204748272895813,-0.03954242467880248,0.03954242467880248,1,0,29934,3823,13960
303,beta_stage_II,0.3,0.30113324522972107,0.30127471685409546,0.23295584321022034,0.36233797669410706,0.0011332452297210804,0.0011332452297210804,1,0,29934,3823,13960
303,beta_stage_III,0.75,0.7605203986167908,0.7610260248184204,0.6928839087486267,0.8262252807617188,0.010520398616790771,0.010520398616790771,1,0,29934,3823,13960
303,delta_post[0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,29934,3823,13960
303,delta_post[1],0.12,0.19642598927021027,0.1980603188276291,0.0754769816994667,0.32181790471076965,0.07642598927021027,0.07642598927021027,1,0,29934,3823,13960
303,delta_post[2],0.2,0.19171392917633057,0.1917952597141266,0.06584780663251877,0.3095144033432007,-0.008286070823669445,0.008286070823669445,1,0,29934,3823,13960
303,delta_post[3],0.28,0.1956954300403595,0.19583705067634583,0.057623934000730515,0.3360331654548645,-0.08430456995964053,0.08430456995964053,1,0,29934,3823,13960
303,delta_post[4],0.35,0.22944915294647217,0.2298574149608612,0.054710350930690765,0.39225295186042786,-0.12055084705352781,0.12055084705352781,1,0,29934,3823,13960
404,beta_td,-0.25,-0.3182773292064667,-0.31588611006736755,-0.4185287654399872,-0.22222481667995453,-0.06827732920646667,0.06827732920646667,1,0,29584,3849,13654
404,beta_age_per10_centered,0.18,0.1903461515903473,0.19004051387310028,0.1650102734565735,0.2165454626083374,0.010346151590347297,0.010346151590347297,1,0,29584,3849,13654
404,beta_cci,0.22,0.21291272342205048,0.21291355788707733,0.1886897087097168,0.23527710139751434,-0.007087276577949525,0.007087276577949525,1,0,29584,3849,13654
404,beta_tumor_size_log,0.3,0.2163274884223938,0.21667756140232086,0.14434467256069183,0.28464382886886597,-0.08367251157760619,0.08367251157760619,0,0,29584,3849,13654
404,beta_stage_II,0.3,0.2481345534324646,0.24866729974746704,0.18480001389980316,0.3133196532726288,-0.05186544656753539,0.05186544656753539,1,0,29584,3849,13654
404,beta_stage_III,0.75,0.6999963521957397,0.699309229850769,0.628947913646698,0.769402801990509,-0.050003647804260254,0.050003647804260254,1,0,29584,3849,13654
404,delta_post[0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,29584,3849,13654
404,delta_post[1],0.12,0.03654518723487854,0.03675961494445801,-0.09944018721580505,0.17222289741039276,-0.08345481276512146,0.08345481276512146,1,0,29584,3849,13654
404,delta_post[2],0.2,0.3338186740875244,0.3317766785621643,0.2153024822473526,0.4580971896648407,0.1338186740875244,0.1338186740875244,0,0,29584,3849,13654
404,delta_post[3],0.28,0.32814520597457886,0.32979467511177063,0.19547288119792938,0.46916836500167847,0.04814520597457883,0.04814520597457883,1,0,29584,3849,13654
404,delta_post[4],0.35,0.5264319777488708,0.5237737894058228,0.3627496659755707,0.6970201134681702,0.17643197774887087,0.17643197774887087,0,0,29584,3849,13654
505,beta_td,-0.25,-0.22831009328365326,-0.22600901126861572,-0.3190276622772217,-0.1382274031639099,0.02168990671634674,0.02168990671634674,1,0,30271,3827,14350
505,beta_age_per10_centered,0.18,0.16988703608512878,0.17036591470241547,0.14106015861034393,0.19857631623744965,-0.01011296391487121,0.01011296391487121,1,0,30271,3827,14350
505,beta_cci,0.22,0.22460320591926575,0.224698007106781,0.20023468136787415,0.24903851747512817,0.004603205919265746,0.004603205919265746,1,0,30271,3827,14350
505,beta_tumor_size_log,0.3,0.2233610302209854,0.2211407721042633,0.1553482711315155,0.29537761211395264,-0.07663896977901458,0.07663896977901458,0,0,30271,3827,14350
505,beta_stage_II,0.3,0.26910504698753357,0.26975011825561523,0.21008674800395966,0.32725533843040466,-0.03089495301246642,0.03089495301246642,1,0,30271,3827,14350
