parameter,truth,mean_posterior_mean,sd_posterior_mean,mean_error,median_error,rmse,mae,median_abs_error,coverage_q05_q95,mean_q05,mean_q95,mean_divergences
beta_td,-0.25,-0.20657200068235398,0.06759771624962575,0.04342799931764603,0.03466707468032837,0.07744996605991437,0.06362583786249161,0.047581747174263,80.0,-0.2992577224969864,-0.11593662930608843,0.0
beta_age_per10_centered,0.18,0.17866636961698532,0.01454059758180065,-0.0013336303830146722,-0.005337596237659448,0.013858739128462597,0.012247791945934294,0.010229557752609253,90.0,0.15194822251796722,0.20597563683986664,0.0
beta_cci,0.22,0.21986571550369263,0.01168490011261096,-0.00013428449630737416,-0.002041005790233613,0.01108608289268462,0.009645029902458191,0.008453086018562317,100.0,0.195903480052948,0.24350878447294236,0.0
beta_tumor_size_log,0.3,0.20938893407583237,0.04692992540968133,-0.09061106592416762,-0.08506194800138472,0.10095811694448485,0.09061106592416762,0.08506194800138472,30.0,0.13590903617441655,0.28480618447065353,0.0
beta_stage_II,0.3,0.28984376788139343,0.03929345426222107,-0.010156232118606556,-0.007022920250892628,0.03863582591220937,0.0271454644203186,0.012068107724189758,80.0,0.2270812764763832,0.3535967290401459,0.0
beta_stage_III,0.75,0.7339217483997345,0.04111935466397493,-0.016078251600265502,-0.01140323281288147,0.042192788124334954,0.034463852643966675,0.03500691056251526,90.0,0.666068148612976,0.801824289560318,0.0
delta_post[0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
delta_post[1],0.12,0.10621526353061199,0.0832929718917561,-0.013784736469388003,0.028143820464611058,0.08021200788806662,0.07269077582657338,0.07014669209718705,100.0,-0.020544653944671153,0.23452478647232056,0.0
delta_post[2],0.2,0.1820743314921856,0.07319871202201347,-0.017925668507814418,-0.04343385696411134,0.07171872760280638,0.06087419047951699,0.05895273834466935,90.0,0.06077421186491847,0.30353517532348634,0.0
delta_post[3],0.28,0.2368185617029667,0.08394133013697548,-0.04318143829703334,-0.01375970125198367,0.09058790663244591,0.06625847443938256,0.044039518833160374,80.0,0.1046226880978793,0.3728343337774277,0.0
delta_post[4],0.35,0.24429925102740527,0.13587527726534127,-0.10570074897259471,-0.10330003350973127,0.16669892083666144,0.14098714452236888,0.11270244270563123,70.0,0.0743805631995201,0.4134337931871414,0.0
