parameter,truth,posterior_mean,error,abs_error
beta_td,-0.25,-0.18287691473960876,0.06712308526039124,0.06712308526039124
beta_age_per10_centered,0.18,0.16825349628925323,-0.011746503710746758,0.011746503710746758
beta_cci,0.22,0.20477429032325745,-0.015225709676742555,0.015225709676742555
beta_tumor_size_log,0.3,0.2761772871017456,-0.023822712898254383,0.023822712898254383
beta_stage_II,0.3,0.284548819065094,-0.015451180934905995,0.015451180934905995
beta_stage_III,0.75,0.7055068016052246,-0.04449319839477539,0.04449319839477539
delta_post[0],0.0,0.0,0.0,0.0
delta_post[1],0.12,0.02681502141058445,-0.09318497858941555,0.09318497858941555
delta_post[2],0.2,0.17376956343650818,-0.026230436563491832,0.026230436563491832
delta_post[3],0.28,0.17705383896827698,-0.10294616103172305,0.10294616103172305
delta_post[4],0.35,0.2517075538635254,-0.09829244613647459,0.09829244613647459
